"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"CCM0069",2003-04-07,"10:10:00",38.44167,-75.90556,2.091,0.1106,16.3
"CCM0069",2003-03-12,"11:25:00",38.44167,-75.90556,1.837,0.0508,4
"CCM0069",2003-04-03,"09:45:00",38.44167,-75.90556,2.06,0.096,25
"CCM0069",2003-04-16,"08:45:00",38.44167,-75.90556,1.772,0.0967,14
"CCM0069",2003-04-09,"09:00:00",38.44167,-75.90556,1.844,0.1084,11.3
"CCM0069",2003-04-30,"08:45:00",38.44167,-75.90556,1.983,0.1119,26
"CCM0069",2003-04-23,"09:00:00",38.44167,-75.90556,1.956,0.1372,26
"CCM0069",2003-05-07,"10:33:00",38.44167,-75.90556,1.539,0.1163,15
"CCM0069",2003-05-07,"07:30:00",38.44167,-75.90556,1.563,0.1254,20
"CCM0069",2003-05-28,"08:30:00",38.44167,-75.90556,2.028,0.1602,8.7
"CCM0069",2003-05-22,"12:40:00",38.44167,-75.90556,1.824,0.1642,18.8
"CCM0069",2003-05-21,"07:45:00",38.44167,-75.90556,1.905,0.1825,25
"CCM0069",2003-05-12,"12:30:00",38.44167,-75.90556,1.644,0.1499,22.5
"CCM0069",2003-06-04,"08:00:00",38.44167,-75.90556,1.853,0.1564,15
"CCM0069",2003-06-18,"11:55:00",38.44167,-75.90556,1.882,0.2832,9.3
"CCM0069",2003-06-12,"07:30:00",38.44167,-75.90556,1.751,0.2224,10
"CCM0069",2003-06-19,"10:00:00",38.44167,-75.90556,2.019,0.3186,10
"CCM0069",2003-07-09,"10:38:00",38.44167,-75.90556,1.722,0.2646,8
"CCM0069",2003-07-08,"08:45:00",38.44167,-75.90556,1.738,0.2775,11
"CCM0069",2003-07-02,"09:00:00",38.44167,-75.90556,1.779,0.294,16.3
"CCM0069",2003-06-26,"08:30:00",38.44167,-75.90556,2.003,0.2154,15
"CCM0069",2003-08-06,"12:20:00",38.44167,-75.90556,1.535,0.1506,10.6
"CCM0069",2003-07-31,"09:15:00",38.44167,-75.90556,1.696,0.1775,13.7
"CCM0069",2003-07-24,"09:30:00",38.44167,-75.90556,1.518,0.2143,13
"CCM0069",2003-07-17,"09:00:00",38.44167,-75.90556,1.619,0.2469,17
"CCM0069",2003-10-08,"09:30:00",38.44167,-75.90556,1.719,0.1725,5
"CCM0069",2003-09-16,"12:35:00",38.44167,-75.90556,1.619,0.1631,2.7
"CCM0069",2003-08-07,"08:30:00",38.44167,-75.90556,1.478,0.1808,13.8
"CCM0069",2013-09-16,"11:35:00",38.44167,-75.90556,1.833,0.1313,23
"CCM0069",2013-08-15,"14:00:00",38.44167,-75.90556,2.005,0.1672,18
"CCM0069",2013-02-12,"09:53:00",38.44167,-75.90556,2.224,0.0702,4.3
"CCM0069",2013-07-15,"10:24:00",38.44167,-75.90556,2.018,0.226,13.8
"CCM0069",2013-01-17,"10:10:00",38.44167,-75.90556,2.388,0.0887,8.7
"CCM0069",2012-12-10,"10:08:00",38.44167,-75.90556,2.32,0.1317,20
"CCM0069",2012-11-13,"13:20:00",38.44167,-75.90556,1.994,0.1217,11.5
"CCM0069",2012-10-15,"15:01:00",38.44167,-75.90556,2.001,0.1415,27
"CCM0069",2012-09-18,"11:08:00",38.44167,-75.90556,2.26,0.1534,32
"CCM0069",2012-06-04,"14:00:00",38.44167,-75.90556,1.96,0.1226,25.3
"CCM0069",2012-05-15,"12:00:00",38.44167,-75.90556,1.99,0.1563,27.5
"CCM0069",2012-04-16,"11:10:00",38.44167,-75.90556,2.21,0.1724,48
"CCM0069",2012-03-15,"12:25:00",38.44167,-75.90556,2.111,0.1205,NA
"CCM0069",2012-02-13,"10:47:00",38.44167,-75.90556,2.705,0.1299,52.5
"CCM0069",2012-01-10,"09:56:00",38.44167,-75.90556,2.542,0.1044,18
"CCM0069",2011-12-15,"09:30:00",38.44167,-75.90556,2.186,0.1281,15
"CCM0069",2011-10-18,"11:35:00",38.44167,-75.90556,1.686,0.1309,10
"CCM0069",2011-11-15,"10:50:00",38.44167,-75.90556,2.027,0.1126,19
"CCM0069",2011-09-21,"11:15:00",38.44167,-75.90556,1.711,0.1233,17
"CCM0069",2011-08-09,"11:05:00",38.44167,-75.90556,2.56,0.2021,18
"CCM0069",2011-07-11,"11:00:00",38.44167,-75.90556,2.22,0.1613,21.4
"CCM0069",2011-06-08,"13:40:00",38.44167,-75.90556,1.944,0.1064,20.8
"CCM0069",2011-05-10,"11:23:00",38.44167,-75.90556,1.903,0.1366,NA
"CCM0069",2011-04-11,"11:45:00",38.44167,-75.90556,1.84,0.0973,48
"CCM0069",2011-03-14,"12:55:00",38.44167,-75.90556,1.639,0.0761,6.9
"CCM0069",2011-02-08,"11:48:00",38.44167,-75.90556,1.705,0.0809,25
"CCM0069",2011-01-11,"10:47:00",38.44167,-75.90556,2.057,0.0746,7.3
