"MonitoringStation","SampleDate","SampleTime","Parameter","MeasureValue","Unit","Latitude","Longitude"
"CCM0069",2003-04-07,"10:10:00","TN",2.091,"MG/L",38.44167,-75.90556
"CCM0069",2003-03-12,"11:25:00","TN",1.837,"MG/L",38.44167,-75.90556
"CCM0069",2003-04-03,"09:45:00","TN",2.06,"MG/L",38.44167,-75.90556
"CCM0069",2003-04-16,"08:45:00","TN",1.772,"MG/L",38.44167,-75.90556
"CCM0069",2003-04-09,"09:00:00","TN",1.844,"MG/L",38.44167,-75.90556
"CCM0069",2003-04-30,"08:45:00","TN",1.983,"MG/L",38.44167,-75.90556
"CCM0069",2003-04-23,"09:00:00","TN",1.956,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-07,"10:33:00","TN",1.539,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-07,"07:30:00","TN",1.563,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-28,"08:30:00","TN",2.028,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-22,"12:40:00","TN",1.824,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-21,"07:45:00","TN",1.905,"MG/L",38.44167,-75.90556
"CCM0069",2003-05-12,"12:30:00","TN",1.644,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-04,"08:00:00","TN",1.853,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-18,"11:55:00","TN",1.882,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-12,"07:30:00","TN",1.751,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-19,"10:00:00","TN",2.019,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-09,"10:38:00","TN",1.722,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-08,"08:45:00","TN",1.738,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-02,"09:00:00","TN",1.779,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-26,"08:30:00","TN",2.003,"MG/L",38.44167,-75.90556
"CCM0069",2003-08-06,"12:20:00","TN",1.535,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-31,"09:15:00","TN",1.696,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-24,"09:30:00","TN",1.518,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-17,"09:00:00","TN",1.619,"MG/L",38.44167,-75.90556
"CCM0069",2003-10-08,"09:30:00","TN",1.719,"MG/L",38.44167,-75.90556
"CCM0069",2003-09-16,"12:35:00","TN",1.619,"MG/L",38.44167,-75.90556
"CCM0069",2003-08-07,"08:30:00","TN",1.478,"MG/L",38.44167,-75.90556
"CCM0069",2003-08-07,"08:30:00","TP",0.1808,"MG/L",38.44167,-75.90556
"CCM0069",2003-09-16,"12:35:00","TP",0.1631,"MG/L",38.44167,-75.90556
