MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"CCM0069",49266,"BAY391","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/17/2003,12:57:00,,,,0,"S ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",48928,"BAY390","TWQM","TRIB","MDDNR","MDDNR","CCM0069",11/19/2003,11:00:00,2.6,,,0,"S ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",49495,"BAY392","TWQM","TRIB","MDDNR","MDDNR","CCM0069",1/13/2004,11:27:00,2.2,,,0,"S ","ISM","M1","DO",,10.00000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",49706,"BAY393","TWQM","TRIB","MDDNR","MDDNR","CCM0069",2/17/2004,11:40:00,2.4,,,0,"S ","ISM","M1","DO",,11.40000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",50079,"BAY394","TWQM","TRIB","MDDNR","MDDNR","CCM0069",3/17/2004,12:00:00,2.6,,,0,"S ","ISM","M1","DO",,10.50000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",50494,"BAY396","TWQM","TRIB","MDDNR","MDDNR","CCM0069",4/14/2004,11:37:00,2.8,,,0,"S ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",33197,"BAY411","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/9/2004,11:03:00,2.5,,,0,"S ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",38449,"BAY407","TWQM","TRIB","MDDNR","MDDNR","CCM0069",9/22/2004,11:15:00,2.2,,,0,"S ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",37634,"BAY404","TWQM","TRIB","MDDNR","MDDNR","CCM0069",8/12/2004,10:25:00,2,,,0,"S ","ISM","M1","DO",,4.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",38715,"BAY408","TWQM","TRIB","MDDNR","MDDNR","CCM0069",10/7/2004,10:15:00,2.4,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",43617,"BAY398","TWQM","TRIB","MDDNR","MDDNR","CCM0069",5/12/2004,10:58:00,2,,,0,"S ","ISM","M1","DO",,4.70000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",44991,"BAY403","TWQM","TRIB","MDDNR","MDDNR","CCM0069",7/21/2004,12:20:00,2,,,0,"S ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",44143,"BAY400","TWQM","TRIB","MDDNR","MDDNR","CCM0069",6/9/2004,11:43:00,,,,0,"S ","ISM","M1","DO",,7.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",39211,"BAY410","TWQM","TRIB","MDDNR","MDDNR","CCM0069",11/8/2004,11:00:00,1.8,,,0,"S ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",28572,"BAY420","TWQM","TRIB","MDDNR","MDDNR","CCM0069",6/15/2005,10:35:00,2.8,,,0,"S ","ISM","M1","DO",,4.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",29854,"BAY424","TWQM","TRIB","MDDNR","MDDNR","CCM0069",8/11/2005,10:50:00,2.8,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",27938,"BAY418","TWQM","TRIB","MDDNR","MDDNR","CCM0069",5/12/2005,11:27:00,2.6,,,0,"S ","ISM","M1","DO",,7.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",23803,"BAY426","TWQM","TRIB","MDDNR","MDDNR","CCM0069",9/15/2005,11:10:00,2.4,,,0,"S ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",24569,"BAY429","TWQM","TRIB","MDDNR","MDDNR","CCM0069",10/20/2005,11:45:00,2.5,,,0,"S ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",29186,"BAY422","TWQM","TRIB","MDDNR","MDDNR","CCM0069",7/13/2005,10:15:00,2.4,,,0,"S ","ISM","M1","DO",,4.70000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",25044,"BAY430","TWQM","TRIB","MDDNR","MDDNR","CCM0069",11/17/2005,10:00:00,1.9,,,0,"S ","ISM","M1","DO",,9.30000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",15054,"BAY432","TWQM","TRIB","MDDNR","MDDNR","CCM0069",1/9/2006,09:47:00,2.4,,,0,"S ","ISM","M1","DO",,10.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",15442,"BAY433","TWQM","TRIB","MDDNR","MDDNR","CCM0069",2/6/2006,13:48:00,2.2,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",14877,"BAY431","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/13/2005,15:41:00,1.8,,,0,"S ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",15892,"BAY434","TWQM","TRIB","MDDNR","MDDNR","CCM0069",3/9/2006,11:18:00,2.6,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",16647,"BAY437","TWQM","TRIB","MDDNR","MDDNR","CCM0069",4/20/2006,12:05:00,2.2,,,0,"S ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",81742,"BAY495","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/16/2008,10:30:00,2.8,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",39948,"BAY581","TWQM","TRIB","MDDNR","MDDNR","CCM0069",7/25/2012,10:34:00,2.6,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",40695,"BAY585","TWQM","TRIB","MDDNR","MDDNR","CCM0069",9/18/2012,11:08:00,2.7,,,0,"S ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",40278,"BAY583","TWQM","TRIB","MDDNR","MDDNR","CCM0069",8/20/2012,09:35:00,2.4,,,0,"S ","ISM","M1","DO",,3.90000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",30646,"BAY600","TWQM","TRIB","MDDNR","MDDNR","CCM0069",5/14/2013,09:50:00,2.6,,,0,"S ","ISM","M1","DO",,7.00000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",30378,"BAY598","TWQM","TRIB","MDDNR","MDDNR","CCM0069",4/15/2013,14:00:00,2,,,0,"S ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",30877,"BAY602","TWQM","TRIB","MDDNR","MDDNR","CCM0069",6/5/2013,11:20:00,1.8,,,0,"S ","ISM","M1","DO",,5.70000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",33491,"BAY412","TWQM","TRIB","MDDNR","MDDNR","CCM0069",1/11/2005,11:55:00,,,,0,"S ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
