MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"CCM0069",399625,"BAY611","TWQM","TRIB","MDDNR","MDDNR","CCM0069",10/17/2013,10:30:00,3,,,0,"S ","ISM","M1","DO",,7.50000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",399745,"BAY612","TWQM","TRIB","MDDNR","MDDNR","CCM0069",11/12/2013,11:18:00,2.5,,,0,"S ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",484519,"BAY760","TWQM","TRIB","MDDNR","MDDNR","CCM0069",1/7/2020,10:45:00,2.5,,,0,"S ","ISM","M1","DO",,13.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",397600,"BAY614","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/12/2013,10:59:00,2.1,,,0,"S ","ISM","M1","DO",,10.00000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",484634,"BAY672","TWQM","TRIB","MDDNR","MDDNR","CCM0069",2/3/2020,08:57:00,2.7,,,0,"S ","ISM","M1","DO",,12.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",484867,"BAY770","TWQM","TRIB","MDDNR","MDDNR","CCM0069",6/15/2020,09:30:00,2,,,0,"S ","ISM","M1","DO",,5.80000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",485121,"BAY776","TWQM","TRIB","MDDNR","MDDNR","CCM0069",9/14/2020,11:59:00,1.8,,,0,"S ","ISM","M1","DO",,6.60000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",485238,"BAY778","TWQM","TRIB","MDDNR","MDDNR","CCM0069",10/15/2020,09:35:00,2.2,,,0,"S ","ISM","M1","DO",,7.00000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",486419,"BAY781","TWQM","TRIB","MDDNR","MDDNR","CCM0069",11/23/2020,09:21:00,2.6,,,0,"S ","ISM","M1","DO",,7.20000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",486536,"BAY782","TWQM","TRIB","MDDNR","MDDNR","CCM0069",12/8/2020,09:05:00,2,,,0,"S ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
"CCM0069",492793,"BAY772","TWQM","TRIB","MDDNR","MDDNR","CCM0069",7/14/2020,08:50:00,2.1,,,0,"S ","ISM","M1","DO",,3.60000,"MG/L","F01 ",,,,,,38.44167,-75.90556,"T3"
