MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,1,"M ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,2,"AP","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,0.5,"S ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,4,"BP","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,3,"M ","ISM","M1","DO",,12.40000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,5,"M ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",113755,"BAY032","TWQM","TRIB","MDDNR","MDDNR","EE3.0",1/7/1986,11:20:00,6.9,,,5.9,"B ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",114296,"BAY034","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/10/1986,11:26:00,6.5,,,0.5,"S ","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",114296,"BAY034","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/10/1986,11:26:00,6.5,,,2,"AP","ISM","M1","DO",,12.80000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",114296,"BAY034","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/10/1986,11:26:00,6.5,,,1,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
