MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,0.5,"S ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,1,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,2,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,3,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,4,"M ","ISM","M1","DO",,12.40000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,6,"B ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99574,"BAY501","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/18/2009,09:25:00,7.7,,,0.5,"S ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99008,"BAY498","TWQM","TRIB","MDDNR","MDDNR","EE3.0",2/9/2009,14:44:00,7,,,5,"M ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99574,"BAY501","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/18/2009,09:25:00,7.7,,,1,"M ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
"EE3.0",99574,"BAY501","TWQM","TRIB","MDDNR","MDDNR","EE3.0",3/18/2009,09:25:00,7.7,,,2,"M ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.28093,-76.01033,"T3"
