MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET6.2",22089,"BAY189","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/28/1993,11:20:00,4.3,,,1,"M ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22089,"BAY189","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/28/1993,11:20:00,4.3,,,2,"M ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22089,"BAY189","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/28/1993,11:20:00,4.3,,,3,"M ","ISM","M1","DO",,7.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22089,"BAY189","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/28/1993,11:20:00,4.3,,,3.3,"B ","ISM","M1","DO",,7.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22307,"BAY190","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/18/1993,09:05:00,3.7,,,0.5,"S ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22089,"BAY189","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/28/1993,11:20:00,4.3,,,0.5,"S ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22307,"BAY190","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/18/1993,09:05:00,3.7,,,1,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22307,"BAY190","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/18/1993,09:05:00,3.7,,,2.7,"B ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22307,"BAY190","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/18/1993,09:05:00,3.7,,,2,"M ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",12678,"BAY194","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/9/1994,10:55:00,3.3,,,1,"M ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",12678,"BAY194","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/9/1994,10:55:00,3.3,,,0.5,"S ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",12678,"BAY194","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/9/1994,10:55:00,3.3,,,2,"M ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",12678,"BAY194","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/9/1994,10:55:00,3.3,,,2.3,"B ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13345,"BAY197","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/21/1994,09:00:00,3.3,,,2.3,"B ","ISM","M1","DO",,8.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13345,"BAY197","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/21/1994,09:00:00,3.3,,,0.5,"S ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13345,"BAY197","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/21/1994,09:00:00,3.3,,,2,"M ","ISM","M1","DO",,8.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13345,"BAY197","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/21/1994,09:00:00,3.3,,,1,"M ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22584,"BAY191","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/9/1993,09:10:00,4,,,0.5,"S ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22584,"BAY191","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/9/1993,09:10:00,4,,,1,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22584,"BAY191","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/9/1993,09:10:00,4,,,2,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22584,"BAY191","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/9/1993,09:10:00,4,,,3,"B ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22720,"BAY192","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/5/1994,13:34:00,3,,,0.5,"S ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22584,"BAY191","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/9/1993,09:10:00,4,,,3.5,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22720,"BAY192","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/5/1994,13:34:00,3,,,1,"M ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",22720,"BAY192","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/5/1994,13:34:00,3,,,2,"B ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13530,"BAY198","TWQM","TRIB","MDDNR","MDDNR","ET6.2",5/4/1994,10:30:00,4.2,,,0.5,"S ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13530,"BAY198","TWQM","TRIB","MDDNR","MDDNR","ET6.2",5/4/1994,10:30:00,4.2,,,1,"M ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13530,"BAY198","TWQM","TRIB","MDDNR","MDDNR","ET6.2",5/4/1994,10:30:00,4.2,,,2,"M ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",13530,"BAY198","TWQM","TRIB","MDDNR","MDDNR","ET6.2",5/4/1994,10:30:00,4.2,,,3.2,"B ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",47,"BAY205","TWQM","TRIB","MDDNR","MDDNR","ET6.2",8/17/1994,09:35:00,3.2,,,0.5,"S ","ISM","M1","DO",,6.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",47,"BAY205","TWQM","TRIB","MDDNR","MDDNR","ET6.2",8/17/1994,09:35:00,3.2,,,2.2,"B ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",47,"BAY205","TWQM","TRIB","MDDNR","MDDNR","ET6.2",8/17/1994,09:35:00,3.2,,,1,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",47,"BAY205","TWQM","TRIB","MDDNR","MDDNR","ET6.2",8/17/1994,09:35:00,3.2,,,2,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",498,"BAY206","TWQM","TRIB","MDDNR","MDDNR","ET6.2",9/15/1994,09:45:00,4.3,,,0.5,"S ","ISM","M1","DO",,6.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",498,"BAY206","TWQM","TRIB","MDDNR","MDDNR","ET6.2",9/15/1994,09:45:00,4.3,,,1,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",498,"BAY206","TWQM","TRIB","MDDNR","MDDNR","ET6.2",9/15/1994,09:45:00,4.3,,,2,"M ","ISM","M1","DO",,6.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",498,"BAY206","TWQM","TRIB","MDDNR","MDDNR","ET6.2",9/15/1994,09:45:00,4.3,,,3.3,"B ","ISM","M1","DO",,6.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1030,"BAY209","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/26/1994,09:45:00,4,,,0.5,"S ","ISM","M1","DO",,7.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1030,"BAY209","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/26/1994,09:45:00,4,,,1,"M ","ISM","M1","DO",,7.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1030,"BAY209","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/26/1994,09:45:00,4,,,2,"M ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1030,"BAY209","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/26/1994,09:45:00,4,,,3,"B ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1263,"BAY210","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/16/1994,09:35:00,3.9,,,0.5,"S ","ISM","M1","DO",,8.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1263,"BAY210","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/16/1994,09:35:00,3.9,,,1,"M ","ISM","M1","DO",,8.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1263,"BAY210","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/16/1994,09:35:00,3.9,,,2,"M ","ISM","M1","DO",,8.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1263,"BAY210","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/16/1994,09:35:00,3.9,,,2.9,"B ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1660,"BAY211","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/15/1994,11:55:00,4.8,,,0.5,"S ","ISM","M1","DO",,10.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1660,"BAY211","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/15/1994,11:55:00,4.8,,,1,"M ","ISM","M1","DO",,10.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1660,"BAY211","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/15/1994,11:55:00,4.8,,,2,"M ","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1660,"BAY211","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/15/1994,11:55:00,4.8,,,3,"M ","ISM","M1","DO",,10.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",1660,"BAY211","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/15/1994,11:55:00,4.8,,,3.8,"B ","ISM","M1","DO",,10.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",14056,"BAY200","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/15/1994,10:50:00,3.5,,,0.5,"S ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",14056,"BAY200","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/15/1994,10:50:00,3.5,,,1,"M ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",14056,"BAY200","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/15/1994,10:50:00,3.5,,,2,"M ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
