MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET6.2",401070,"BAY604","SWM","DFLO","MDDNR","MDDNR","ET6.2",7/10/2013,10:19:00,3.2,,,0.5,"BS","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401070,"BAY604","SWM","DFLO","MDDNR","MDDNR","ET6.2",7/10/2013,10:19:00,3.2,,,1,"M ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401070,"BAY604","SWM","DFLO","MDDNR","MDDNR","ET6.2",7/10/2013,10:19:00,3.2,,,2,"M ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401070,"BAY604","SWM","DFLO","MDDNR","MDDNR","ET6.2",7/10/2013,10:19:00,3.2,,,2.9,"M ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401105,"BAY606","SWM","DFLO","MDDNR","MDDNR","ET6.2",8/8/2013,10:01:00,2.5,,,0.5,"BS","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401105,"BAY606","SWM","DFLO","MDDNR","MDDNR","ET6.2",8/8/2013,10:01:00,2.5,,,1,"M ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401105,"BAY606","SWM","DFLO","MDDNR","MDDNR","ET6.2",8/8/2013,10:01:00,2.5,,,1.5,"M ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401105,"BAY606","SWM","DFLO","MDDNR","MDDNR","ET6.2",8/8/2013,10:01:00,2.5,,,2,"M ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401105,"BAY606","SWM","DFLO","MDDNR","MDDNR","ET6.2",8/8/2013,10:01:00,2.5,,,2.2,"M ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401391,"BAY608","SWM","DFLO","MDDNR","MDDNR","ET6.2",9/12/2013,09:31:00,4,,,0.5,"BS","ISM","M1","DO",,7.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401391,"BAY608","SWM","DFLO","MDDNR","MDDNR","ET6.2",9/12/2013,09:31:00,4,,,1,"M ","ISM","M1","DO",,7.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401391,"BAY608","SWM","DFLO","MDDNR","MDDNR","ET6.2",9/12/2013,09:31:00,4,,,2,"M ","ISM","M1","DO",,6.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401391,"BAY608","SWM","DFLO","MDDNR","MDDNR","ET6.2",9/12/2013,09:31:00,4,,,3,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401391,"BAY608","SWM","DFLO","MDDNR","MDDNR","ET6.2",9/12/2013,09:31:00,4,,,3.7,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49025,"BAY390","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/25/2003,09:05:00,3.8,,,0.5,"S ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49025,"BAY390","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/25/2003,09:05:00,3.8,,,1,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49025,"BAY390","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/25/2003,09:05:00,3.8,,,2,"M ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49025,"BAY390","TWQM","TRIB","MDDNR","MDDNR","ET6.2",11/25/2003,09:05:00,3.8,,,2.8,"B ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49220,"BAY391","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/16/2003,11:26:00,3.7,,,1,"M ","ISM","M1","DO",,12.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",49220,"BAY391","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/16/2003,11:26:00,3.7,,,2,"M ","ISM","M1","DO",,12.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
