MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"BXK0031",72409,"BAY374","TWQM","TRIB","MDDNR","MDDNR","BXK0031",3/12/2003,09:08:00,2.6,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",72793,"BAY376","TWQM","TRIB","MDDNR","MDDNR","BXK0031",4/14/2003,08:50:00,2.7,,,0,"S ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",54151,"BAY382","TWQM","TRIB","MDDNR","MDDNR","BXK0031",7/9/2003,08:50:00,2.5,,,0,"S ","ISM","M1","DO",,2.50000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",54660,"BAY384","TWQM","TRIB","MDDNR","MDDNR","BXK0031",8/6/2003,08:48:00,3,,,0,"S ","ISM","M1","DO",,3.60000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",73156,"BAY378","TWQM","TRIB","MDDNR","MDDNR","BXK0031",5/7/2003,09:15:00,,,,0,"S ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",73943,"BAY381","TWQM","TRIB","MDDNR","MDDNR","BXK0031",6/18/2003,08:59:00,3,,,0,"S ","ISM","M1","DO",,3.90000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",49001,"BAY390","TWQM","TRIB","MDDNR","MDDNR","BXK0031",11/24/2003,09:15:00,1.4,,,0,"S ","ISM","M1","DO",,6.60000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",49187,"BAY391","TWQM","TRIB","MDDNR","MDDNR","BXK0031",12/16/2003,08:55:00,2.5,,,0,"S ","ISM","M1","DO",,10.80000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",49471,"BAY392","TWQM","TRIB","MDDNR","MDDNR","BXK0031",1/13/2004,09:22:00,,,,0,"S ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
"BXK0031",49686,"BAY393","TWQM","TRIB","MDDNR","MDDNR","BXK0031",2/17/2004,09:28:00,2.8,,,0,"S ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.13550,-75.75100,"T3"
