MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"TRQ0088",72419,"BAY374","TWQM","TRIB","MDDNR","MDDNR","TRQ0088",3/12/2003,10:58:00,3.5,,,0,"S ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73159,"BAY378","TWQM","TRIB","MDDNR","MDDNR","TRQ0088",5/7/2003,09:44:00,2.3,,,0,"S ","ISM","M1","DO",,5.60000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",72698,"BAY376","TWQM","TRIB","MDDNR","MDDNR","TRQ0088",4/7/2003,09:30:00,2.5,,,0,"S ","ISM","M1","DO",,8.00000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73422,"BAY379","SWM","DFLO","MDDNR","MDDNR","TRQ0088",5/22/2003,11:55:00,3.8,,,0.5,"BS","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73422,"BAY379","SWM","DFLO","MDDNR","MDDNR","TRQ0088",5/22/2003,11:55:00,3.8,,,1,"M ","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73422,"BAY379","SWM","DFLO","MDDNR","MDDNR","TRQ0088",5/22/2003,11:55:00,3.8,,,2,"M ","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73422,"BAY379","SWM","DFLO","MDDNR","MDDNR","TRQ0088",5/22/2003,11:55:00,3.8,,,3,"M ","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73422,"BAY379","SWM","DFLO","MDDNR","MDDNR","TRQ0088",5/22/2003,11:55:00,3.8,,,3.5,"M ","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73707,"BAY381","SWM","DFLO","MDDNR","MDDNR","TRQ0088",6/9/2003,12:07:00,3.8,,,0.5,"BS","ISM","M1","DO",,4.10000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
"TRQ0088",73707,"BAY381","SWM","DFLO","MDDNR","MDDNR","TRQ0088",6/9/2003,12:07:00,3.8,,,1,"M ","ISM","M1","DO",,3.60000,"MG/L","F01 ",,,,,,38.41722,-75.99361,"T3"
