MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"TRQ0146",72417,"BAY374","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",3/12/2003,10:30:00,2.1,,,0,"S ","ISM","M1","DO",,11.30000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",72697,"BAY376","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",4/7/2003,08:30:00,1.5,,,0,"S ","ISM","M1","DO",,10.20000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",54692,"BAY384","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",8/6/2003,13:15:00,2.5,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",73155,"BAY378","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",5/7/2003,08:58:00,2.3,,,0,"S ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",54158,"BAY382","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",7/9/2003,09:40:00,2.4,,,0,"S ","ISM","M1","DO",,3.20000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",73955,"BAY381","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",6/18/2003,10:14:00,2.2,,,0,"S ","ISM","M1","DO",,2.40000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",55492,"BAY387","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",9/16/2003,11:15:00,,,,0,"S ","ISM","M1","DO",,5.60000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",55924,"BAY388","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",10/8/2003,08:22:00,2,,,0,"S ","ISM","M1","DO",,7.50000,"MG/L","F01 ",,,,,,38.46556,-76.00056,"T3"
"TRQ0146",55924,"BAY388","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",10/8/2003,08:22:00,2,,,0,"S ","D","S1","NH4F",,0.13900,"MG/L","L01 ","CBL",,,,,38.46556,-76.00056,"T3"
"TRQ0146",55492,"BAY387","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",9/16/2003,11:15:00,,,,0,"S ","D","S1","NH4F",,0.09700,"MG/L","L01 ","CBL",,,,,38.46556,-76.00056,"T3"
"TRQ0146",54158,"BAY382","TWQM","TRIB","MDDNR","MDDNR","TRQ0146",7/9/2003,09:40:00,2.4,,,0,"S ","D","S1","NH4F",,0.48000,"MG/L","L01 ","CBL",,,,,38.46556,-76.00056,"T3"
