MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
WIW0141,72430,BAY374,TWQM,TRIB,MDDNR,MDDNR,WIW0141,3/12/2003,12:42:00,,,,0,S ,D,S1,TN,,3.937,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,72430,BAY374,TWQM,TRIB,MDDNR,MDDNR,WIW0141,3/12/2003,12:42:00,,,,0,S ,D,S1,TP,,0.0856,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,72430,BAY374,TWQM,TRIB,MDDNR,MDDNR,WIW0141,3/12/2003,12:42:00,,,,0,S ,D,S1,TSS,,31.5,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,72711,BAY376,TWQM,TRIB,MDDNR,MDDNR,WIW0141,4/7/2003,12:15:00,,,,0,S ,D,S1,TN,,3.687,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,72711,BAY376,TWQM,TRIB,MDDNR,MDDNR,WIW0141,4/7/2003,12:15:00,,,,0,S ,D,S1,TP,,0.0817,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,72711,BAY376,TWQM,TRIB,MDDNR,MDDNR,WIW0141,4/7/2003,12:15:00,,,,0,S ,D,S1,TSS,,20.7,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73172,BAY378,TWQM,TRIB,MDDNR,MDDNR,WIW0141,5/7/2003,12:06:00,,,,0,S ,D,S1,TN,,3.95,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73172,BAY378,TWQM,TRIB,MDDNR,MDDNR,WIW0141,5/7/2003,12:06:00,,,,0,S ,D,S1,TP,,0.1083,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73172,BAY378,TWQM,TRIB,MDDNR,MDDNR,WIW0141,5/7/2003,12:06:00,,,,0,S ,D,S1,TSS,,31.5,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73975,BAY381,TWQM,TRIB,MDDNR,MDDNR,WIW0141,6/18/2003,13:30:00,,,,0,S ,D,S1,TN,,2.95,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73975,BAY381,TWQM,TRIB,MDDNR,MDDNR,WIW0141,6/18/2003,13:30:00,,,,0,S ,D,S1,TP,,0.1099,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,73975,BAY381,TWQM,TRIB,MDDNR,MDDNR,WIW0141,6/18/2003,13:30:00,,,,0,S ,D,S1,TSS,,20.7,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54176,BAY382,TWQM,TRIB,MDDNR,MDDNR,WIW0141,7/9/2003,12:00:00,,,,0,S ,D,S1,TN,,2.759,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54176,BAY382,TWQM,TRIB,MDDNR,MDDNR,WIW0141,7/9/2003,12:00:00,,,,0,S ,D,S1,TP,,0.114,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54176,BAY382,TWQM,TRIB,MDDNR,MDDNR,WIW0141,7/9/2003,12:00:00,,,,0,S ,D,S1,TSS,,14.3,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54678,BAY384,TWQM,TRIB,MDDNR,MDDNR,WIW0141,8/6/2003,11:10:00,,,,0,S ,D,S1,TN,,2.43,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54678,BAY384,TWQM,TRIB,MDDNR,MDDNR,WIW0141,8/6/2003,11:10:00,,,,0,S ,D,S1,TP,,0.0969,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,54678,BAY384,TWQM,TRIB,MDDNR,MDDNR,WIW0141,8/6/2003,11:10:00,,,,0,S ,D,S1,TSS,,13.9,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55516,BAY387,TWQM,TRIB,MDDNR,MDDNR,WIW0141,9/16/2003,15:20:00,,,,0,S ,D,S1,TN,,3.459,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55516,BAY387,TWQM,TRIB,MDDNR,MDDNR,WIW0141,9/16/2003,15:20:00,,,,0,S ,D,S1,TP,,0.1176,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55516,BAY387,TWQM,TRIB,MDDNR,MDDNR,WIW0141,9/16/2003,15:20:00,,,,0,S ,D,S1,TSS,,31.2,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55941,BAY388,TWQM,TRIB,MDDNR,MDDNR,WIW0141,10/8/2003,11:10:00,,,,0,S ,D,S1,TN,,2.743,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55941,BAY388,TWQM,TRIB,MDDNR,MDDNR,WIW0141,10/8/2003,11:10:00,,,,0,S ,D,S1,TP,,0.0838,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,55941,BAY388,TWQM,TRIB,MDDNR,MDDNR,WIW0141,10/8/2003,11:10:00,,,,0,S ,D,S1,TSS,,15.3,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,48935,BAY390,TWQM,TRIB,MDDNR,MDDNR,WIW0141,11/19/2003,12:40:00,,,,0,S ,D,S1,TN,,2.799,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,48935,BAY390,TWQM,TRIB,MDDNR,MDDNR,WIW0141,11/19/2003,12:40:00,,,,0,S ,D,S1,TP,,0.0907,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,48935,BAY390,TWQM,TRIB,MDDNR,MDDNR,WIW0141,11/19/2003,12:40:00,,,,0,S ,D,S1,TSS,,14.8,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS1,TN,,3.368,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS2,TN,,3.473,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS1,TP,,0.0926,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS2,TP,,0.091,MG/L,D01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS1,TSS,,18.3,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49256,BAY391,TWQM,TRIB,MDDNR,MDDNR,WIW0141,12/17/2003,10:27:00,,,,0,S ,D,FS2,TSS,,19.3,MG/L,L01 ,CBL,,,,,38.34153,-75.69569,T3
WIW0141,49505,BAY392,TWQM,TRIB,MDDNR,MDDNR,WIW0141,1/13/2004,12:30:00,,,,0,S ,D,S1,TN,,4.735,MG/L,D03 ,CBL,,,,,38.34153,-75.69569,T3
