MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"WIW0141",399716,"BAY611","TWQM","TRIB","MDDNR","MDDNR","WIW0141",10/17/2013,11:33:00,5,,,0,"S ","ISM","M1","DO",,7.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399836,"BAY612","TWQM","TRIB","MDDNR","MDDNR","WIW0141",11/12/2013,12:35:00,4.8,,,0,"S ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",397690,"BAY614","TWQM","TRIB","MDDNR","MDDNR","WIW0141",12/12/2013,12:11:00,,,,0,"S ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398326,"BAY628","TWQM","TRIB","MDDNR","MDDNR","WIW0141",7/9/2014,12:05:00,,,,0,"S ","ISM","M1","DO",,6.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398435,"BAY630","TWQM","TRIB","MDDNR","MDDNR","WIW0141",8/6/2014,09:55:00,,,,0,"S ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398544,"BAY633","TWQM","TRIB","MDDNR","MDDNR","WIW0141",9/17/2014,10:18:00,,,,0,"S ","ISM","M1","DO",,6.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398652,"BAY637","TWQM","TRIB","MDDNR","MDDNR","WIW0141",11/17/2014,12:18:00,,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398760,"BAY639","TWQM","TRIB","MDDNR","MDDNR","WIW0141",12/17/2014,10:28:00,,,,0,"S ","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398862,"BAY640","TWQM","TRIB","MDDNR","MDDNR","WIW0141",1/13/2015,12:25:00,,,,0,"S ","ISM","M1","DO",,12.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",398953,"BAY642","TWQM","TRIB","MDDNR","MDDNR","WIW0141",2/9/2015,11:20:00,,,,0,"S ","ISM","M1","DO",,11.00000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399060,"BAY644","TWQM","TRIB","MDDNR","MDDNR","WIW0141",3/11/2015,12:20:00,,,,0,"S ","ISM","M1","DO",,11.80000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399168,"BAY646","TWQM","TRIB","MDDNR","MDDNR","WIW0141",4/8/2015,10:32:00,,,,0,"S ","ISM","M1","DO",,8.80000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",393222,"BAY654","TWQM","TRIB","MDDNR","MDDNR","WIW0141",8/5/2015,09:44:00,,,,0,"S ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",393331,"BAY657","TWQM","TRIB","MDDNR","MDDNR","WIW0141",9/16/2015,09:35:00,,,,0,"S ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399277,"BAY648","TWQM","TRIB","MDDNR","MDDNR","WIW0141",5/4/2015,10:02:00,,,,0,"S ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399386,"BAY650","TWQM","TRIB","MDDNR","MDDNR","WIW0141",6/3/2015,11:10:00,,,,0,"S ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",399495,"BAY652","TWQM","TRIB","MDDNR","MDDNR","WIW0141",7/8/2015,10:00:00,,,,0,"S ","ISM","M1","DO",,4.80000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",400056,"BAY635","TWQM","TRIB","MDDNR","MDDNR","WIW0141",10/22/2014,10:11:00,,,,0,"S ","ISM","M1","DO",,9.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",414518,"BAY661","TWQM","TRIB","MDDNR","MDDNR","WIW0141",11/18/2015,11:03:00,,,,0,"S ","ISM","M1","DO",,9.20000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",414675,"BAY663","TWQM","TRIB","MDDNR","MDDNR","WIW0141",12/16/2015,10:47:00,,,,0,"S ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420065,"BAY664","TWQM","TRIB","MDDNR","MDDNR","WIW0141",1/11/2016,11:15:00,,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420276,"BAY670","TWQM","TRIB","MDDNR","MDDNR","WIW0141",4/11/2016,10:00:00,,,,0,"S ","ISM","M1","DO",,11.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420168,"BAY666","TWQM","TRIB","MDDNR","MDDNR","WIW0141",2/8/2016,11:03:00,2.8,,,0,"S ","ISM","M1","DO",,11.20000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420385,"BAY669","TWQM","TRIB","MDDNR","MDDNR","WIW0141",3/16/2016,10:20:00,2.8,,,0,"S ","ISM","M1","DO",,8.50000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420493,"BAY672","TWQM","TRIB","MDDNR","MDDNR","WIW0141",5/11/2016,10:10:00,,,,0,"S ","ISM","M1","DO",,10.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",420602,"BAY674","TWQM","TRIB","MDDNR","MDDNR","WIW0141",6/8/2016,10:28:00,,,,0,"S ","ISM","M1","DO",,7.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",422370,"BAY659","TWQM","TRIB","MDDNR","MDDNR","WIW0141",10/21/2015,10:27:00,,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",424679,"BAY683","TWQM","TRIB","MDDNR","MDDNR","WIW0141",10/19/2016,10:11:00,,,,0,"S ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",424788,"BAY685","TWQM","TRIB","MDDNR","MDDNR","WIW0141",11/16/2016,10:20:00,,,,0,"S ","ISM","M1","DO",,10.20000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",424897,"BAY686","TWQM","TRIB","MDDNR","MDDNR","WIW0141",12/14/2016,10:10:00,3.6,,,0,"S ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",425144,"BAY676","TWQM","TRIB","MDDNR","MDDNR","WIW0141",7/13/2016,10:20:00,,,,0,"S ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",425253,"BAY678","TWQM","TRIB","MDDNR","MDDNR","WIW0141",8/10/2016,10:03:00,,,,0,"S ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",425624,"BAY681","TWQM","TRIB","MDDNR","MDDNR","WIW0141",9/21/2016,10:35:00,,,,0,"S ","ISM","M1","DO",,5.30000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",427307,"BAY689","TWQM","TRIB","MDDNR","MDDNR","WIW0141",1/18/2017,12:15:00,,,,0,"S ","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",444931,"BAY693","TWQM","TRIB","MDDNR","MDDNR","WIW0141",3/16/2017,11:10:00,2.8,,,0,"S ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",445039,"BAY694","TWQM","TRIB","MDDNR","MDDNR","WIW0141",4/12/2017,10:35:00,,,,0,"S ","ISM","M1","DO",,10.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",445734,"BAY702","TWQM","TRIB","MDDNR","MDDNR","WIW0141",8/7/2017,10:06:00,,,,0,"S ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",445950,"BAY696","TWQM","TRIB","MDDNR","MDDNR","WIW0141",5/10/2017,09:49:00,,,,0,"S ","ISM","M1","DO",,8.00000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",445626,"BAY700","TWQM","TRIB","MDDNR","MDDNR","WIW0141",7/12/2017,10:00:00,,,,0,"S ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",446058,"BAY707","TWQM","TRIB","MDDNR","MDDNR","WIW0141",10/18/2017,09:30:00,,,,0,"S ","ISM","M1","DO",,9.50000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",446166,"BAY708","TWQM","TRIB","MDDNR","MDDNR","WIW0141",11/15/2017,09:12:00,,,,0,"S ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",446274,"BAY710","TWQM","TRIB","MDDNR","MDDNR","WIW0141",12/13/2017,11:20:00,,,,0,"S ","ISM","M1","DO",,11.00000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
"WIW0141",446490,"BAY698","TWQM","TRIB","MDDNR","MDDNR","WIW0141",6/14/2017,10:20:00,,,,0,"S ","ISM","M1","DO",,7.40000,"MG/L","F01 ",,,,,,38.34153,-75.69569,"T3"
