MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"XDJ9007",72426,"BAY374","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",3/12/2003,11:50:00,2.6,,,0,"S ","ISM","M1","DO",,10.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",54682,"BAY384","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",8/6/2003,11:55:00,3,,,0,"S ","ISM","M1","DO",,6.40000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",72708,"BAY376","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",4/7/2003,11:00:00,2,,,0,"S ","ISM","M1","DO",,9.20000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",73168,"BAY378","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",5/7/2003,11:20:00,2.4,,,0,"S ","ISM","M1","DO",,8.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",55509,"BAY387","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",9/16/2003,13:15:00,1.6,,,0,"S ","ISM","M1","DO",,5.40000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",73972,"BAY381","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",6/18/2003,12:45:00,2,,,0,"S ","ISM","M1","DO",,5.40000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",54170,"BAY382","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",7/9/2003,11:05:00,2.5,,,0,"S ","ISM","M1","DO",,5.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",55509,"BAY387","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",9/16/2003,13:15:00,1.6,,,1.1,"M ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",55933,"BAY388","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/8/2003,10:05:00,0.9,,,0,"S ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",55933,"BAY388","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/8/2003,10:05:00,0.9,,,0,"S ","D","S1","NH4F",,0.05100,"MG/L","L01 ","CBL",,,,,38.48375,-75.82098,"T3"
