MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"XDJ9007",48930,"BAY390","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",11/19/2003,11:30:00,2.6,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",49263,"BAY391","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/17/2003,12:27:00,,,,0,"S ","ISM","M1","DO",,10.40000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",49499,"BAY392","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",1/13/2004,11:52:00,1.9,,,0,"S ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",49709,"BAY393","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",2/17/2004,12:20:00,2.8,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",50081,"BAY394","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",3/17/2004,12:35:00,1.5,,,0,"S ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",50496,"BAY396","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",4/14/2004,11:59:00,2.1,,,0,"S ","ISM","M1","DO",,9.30000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",33201,"BAY411","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/9/2004,11:31:00,2.2,,,0,"S ","ISM","M1","DO",,9.10000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",43624,"BAY398","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",5/12/2004,11:54:00,1.9,,,0,"S ","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",44994,"BAY403","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",7/21/2004,12:45:00,2,,,0,"S ","ISM","M1","DO",,5.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",44138,"BAY400","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",6/9/2004,11:03:00,,,,0,"S ","ISM","M1","DO",,6.20000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",37642,"BAY404","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",8/12/2004,11:20:00,2.3,,,0,"S ","ISM","M1","DO",,6.30000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",38453,"BAY407","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",9/22/2004,11:50:00,2.3,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",38721,"BAY408","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/7/2004,10:57:00,2.6,,,0,"S ","ISM","M1","DO",,7.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",39214,"BAY410","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",11/8/2004,11:35:00,1.8,,,0,"S ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",27941,"BAY418","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",5/12/2005,12:00:00,1.7,,,0,"S ","ISM","M1","DO",,7.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",23805,"BAY426","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",9/15/2005,11:46:00,2.6,,,0,"S ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",24574,"BAY429","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/20/2005,13:01:00,1.8,,,0,"S ","ISM","M1","DO",,6.90000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",14875,"BAY431","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/13/2005,14:51:00,2.4,,,0,"S ","ISM","M1","DO",,11.30000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",25047,"BAY430","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",11/17/2005,10:30:00,1.5,,,0,"S ","ISM","M1","DO",,8.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",28578,"BAY420","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",6/15/2005,11:35:00,2.8,,,0,"S ","ISM","M1","DO",,6.10000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",15443,"BAY433","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",2/6/2006,14:25:00,1.4,,,0,"S ","ISM","M1","DO",,10.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",15059,"BAY432","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",1/9/2006,10:30:00,2.3,,,0,"S ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",15894,"BAY434","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",3/9/2006,11:42:00,2.6,,,0,"S ","ISM","M1","DO",,11.30000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",16651,"BAY437","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",4/20/2006,12:50:00,2.2,,,0,"S ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",81745,"BAY495","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/16/2008,11:06:00,2,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",30113,"BAY597","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",3/18/2013,13:31:00,1.2,,,0,"S ","ISM","M1","DO",,10.60000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",30380,"BAY598","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",4/15/2013,14:45:00,0.4,,,0,"S ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",30909,"BAY602","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",6/6/2013,10:40:00,1.2,,,0,"S ","ISM","M1","DO",,6.10000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",33494,"BAY412","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",1/11/2005,12:15:00,2.1,,,0,"S ","ISM","M1","DO",,10.90000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",33919,"BAY413","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",2/15/2005,11:15:00,1.6,,,0,"S ","ISM","M1","DO",,11.10000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
