MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"XDJ9007",399730,"BAY611","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/17/2013,10:48:00,1.6,,,0,"S ","ISM","M1","DO",,6.30000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",399850,"BAY612","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",11/12/2013,11:40:00,1.6,,,0,"S ","ISM","M1","DO",,9.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",397704,"BAY614","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/12/2013,11:29:00,1.4,,,0,"S ","ISM","M1","DO",,11.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",484620,"BAY760","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",1/7/2020,10:15:00,1.6,,,0,"S ","ISM","M1","DO",,10.90000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",484736,"BAY672","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",2/3/2020,09:22:00,2.3,,,0,"S ","ISM","M1","DO",,10.80000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",484970,"BAY770","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",6/15/2020,10:43:00,1.6,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",485224,"BAY776","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",9/14/2020,12:32:00,1.6,,,0,"S ","ISM","M1","DO",,5.80000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",485341,"BAY778","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",10/15/2020,10:50:00,2.4,,,0,"S ","ISM","M1","DO",,6.80000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",486522,"BAY781","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",11/23/2020,10:15:00,2.8,,,0,"S ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",486639,"BAY782","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",12/8/2020,10:25:00,1.4,,,0,"S ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",492896,"BAY772","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",7/14/2020,10:04:00,1.8,,,0,"S ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",493168,"BAY775","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",8/19/2020,10:12:00,1.7,,,0,"S ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",585215,"BAY790","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",4/14/2021,10:47:00,3.2,,,0,"S ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",585447,"BAY784","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",1/13/2021,10:54:00,2.4,,,0,"S ","ISM","M1","DO",,10.00000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
"XDJ9007",585562,"BAY786","TWQM","TRIB","MDDNR","MDDNR","XDJ9007",2/10/2021,10:25:00,2.1,,,0,"S ","ISM","M1","DO",,11.70000,"MG/L","F01 ",,,,,,38.48375,-75.82098,"T3"
